"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-6020","libpam-runtime","1.4.0-11ubuntu2.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-8941","libpam-runtime","1.4.0-11ubuntu2.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-6020","libpam0g","1.4.0-11ubuntu2.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-8941","libpam0g","1.4.0-11ubuntu2.5","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-41409","libpcre2-8-0","10.39-3ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2017-11164","libpcre3","2:8.39-13ubuntu0.22.04.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-29088","libsqlite3-0","3.37.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-6965","libsqlite3-0","3.37.2-2ubuntu0.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-9230","libssl3","3.0.2-0ubuntu1.18","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-13176","libssl3","3.0.2-0ubuntu1.18","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-41996","libssl3","3.0.2-0ubuntu1.18","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-9143","libssl3","3.0.2-0ubuntu1.18","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-27943","libstdc++6","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-4039","libstdc++6","12.3.0-1ubuntu1~22.04","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-4598","libsystemd0","249.11-0ubuntu3.12","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-7008","libsystemd0","249.11-0ubuntu3.12","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-12133","libtasn1-6","4.18.0-4build1","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-50495","libtinfo6","6.3-2ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-4598","libudev1","249.11-0ubuntu3.12","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-7008","libudev1","249.11-0ubuntu3.12","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2022-4899","libzstd1","1.4.8+dfsg-3build1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-29383","login","1:4.8.1-2ubuntu2.2","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-56433","login","1:4.8.1-2ubuntu2.2","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-50495","ncurses-base","6.3-2ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-50495","ncurses-bin","6.3-2ubuntu0.1","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-41996","openssl","3.0.2-0ubuntu1.20","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2023-29383","passwd","1:4.8.1-2ubuntu2.2","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-56433","passwd","1:4.8.1-2ubuntu2.2","LOW"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-56406","perl-base","5.34.0-3ubuntu1.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-40909","perl-base","5.34.0-3ubuntu1.3","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2024-35195","python3-pip","22.0.2+dfsg-1ubuntu0.7","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-47273","python3-pip","22.0.2+dfsg-1ubuntu0.7","MEDIUM"
"ghcr.io/nvidia/nvsentinel-gpu-health-monitor:v0.1.0-dcgm-4.x","CVE-2025-45582","tar","1.34+dfsg-1ubuntu0.1.22.04.2","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2010-4756","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2018-20796","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2019-1010022","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2019-1010023","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2019-1010024","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2019-1010025","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2019-9192","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-9230","libssl3","3.0.17-1~deb12u2","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-27587","libssl3","3.0.17-1~deb12u2","LOW"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-9232","libssl3","3.0.17-1~deb12u2","LOW"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2024-9042","k8s.io/kubernetes","v1.32.0","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-0426","k8s.io/kubernetes","v1.32.0","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-1767","k8s.io/kubernetes","v1.32.0","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-5187","k8s.io/kubernetes","v1.32.0","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-4563","k8s.io/kubernetes","v1.32.0","LOW"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-47907","stdlib","v1.23.6","HIGH"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-0913","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-22871","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-4673","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-47906","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-47907","stdlib","v1.23.6","HIGH"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-0913","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-22871","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-4673","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-labeler-module:v0.1.0","CVE-2025-47906","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2010-4756","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2018-20796","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2019-1010022","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2019-1010023","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2019-1010024","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2019-1010025","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2019-9192","libc6","2.36-9+deb12u13","LOW"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-9230","libssl3","3.0.17-1~deb12u2","MEDIUM"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-27587","libssl3","3.0.17-1~deb12u2","LOW"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-9232","libssl3","3.0.17-1~deb12u2","LOW"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-47907","stdlib","v1.23.6","HIGH"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-0913","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-22871","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-4673","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-47906","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-47907","stdlib","v1.23.6","HIGH"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-0913","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-22871","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-4673","stdlib","v1.23.6","MEDIUM"
"ghcr.io/nvidia/nvsentinel-platform-connectors:v0.1.0","CVE-2025-47906","stdlib","v1.23.6","MEDIUM"
