100,ROBUST_CHANNEL_NVJPG2_ERROR,RESTART_APP,NONFATAL
101,ROBUST_CHANNEL_NVJPG3_ERROR,RESTART_APP,NONFATAL
102,ROBUST_CHANNEL_NVJPG4_ERROR,RESTART_APP,NONFATAL
103,ROBUST_CHANNEL_NVJPG5_ERROR,RESTART_APP,NONFATAL
104,ROBUST_CHANNEL_NVJPG6_ERROR,RESTART_APP,NONFATAL
105,ROBUST_CHANNEL_NVJPG7_ERROR,RESTART_APP,NONFATAL
106,SMBPBI_TEST_MESSAGE,IGNORE,NONFATAL
107,SMBPBI_TEST_MESSAGE_SILENT,IGNORE,NONFATAL
108,DESTINATION_FLA_TRANSLATION_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
109,ROBUST_CHANNEL_CTXSW_TIMEOUT_ERROR,RESET_GPU,NONFATAL
110,SEC_FAULT_ERROR,RESET_GPU,FATAL
111,BUNDLE_ERROR_EVENT,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
112,DISP_SUPERVISOR_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
113,DP_LT_FAILURE,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
114,HEAD_RG_UNDERFLOW,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
115,CORE_CHANNEL_REGS,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
116,WINDOW_CHANNEL_REGS,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
117,CURSOR_CHANNEL_REGS,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
118,HEAD_REGS,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
119,GSP_RPC_TIMEOUT,RESET_GPU,FATAL
120,GSP_ERROR,RESET_GPU,FATAL
121,C2C_ERROR,IGNORE,NONFATAL
122,SPI_PMU_RPC_READ_FAIL,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
123,SPI_PMU_RPC_WRITE_FAIL,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
124,SPI_PMU_RPC_ERASE_FAIL,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
125,INFOROM_FS_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
126,ROBUST_CHANNEL_CE10_ERROR,RESTART_APP,NONFATAL
127,ROBUST_CHANNEL_CE11_ERROR,RESTART_APP,NONFATAL
128,ROBUST_CHANNEL_CE12_ERROR,RESTART_APP,NONFATAL
129,ROBUST_CHANNEL_CE13_ERROR,RESTART_APP,NONFATAL
130,ROBUST_CHANNEL_CE14_ERROR,RESTART_APP,NONFATAL
131,ROBUST_CHANNEL_CE15_ERROR,RESTART_APP,NONFATAL
132,ROBUST_CHANNEL_CE16_ERROR,RESTART_APP,NONFATAL
133,ROBUST_CHANNEL_CE17_ERROR,RESTART_APP,NONFATAL
134,ROBUST_CHANNEL_CE18_ERROR,RESTART_APP,NONFATAL
135,ROBUST_CHANNEL_CE19_ERROR,RESTART_APP,NONFATAL
136,ALI_TRAINING_FAIL,RESET_GPU,FATAL
137,NVLINK_FLA_PRIV_ERR,IGNORE,NONFATAL
138,ROBUST_CHANNEL_DLA_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
139,ROBUST_CHANNEL_OFA1_ERROR,RESTART_APP,NONFATAL
